Pilpres 2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
10000,rt,RT @bachrum_achmadi: Said Iqbal Partai Buruh Dukung Ganjar Capres PDIP.,2023-04-28 07:26:12,Twitter,Positive,@donnyx17 (donnyx abu hayder),15,122,0
10001,mention,"Banyak sliweran capres cawapres ,,hemm ",2023-04-28 07:26:12,Twitter,Positive,@oxtutiexx235 (mboketata),459,0,0
10002,rt,"RT @tvOneNews: Kemarin PSI Bangga Deklarasikan Ganjar Capres 2024, Kini Tak Diakui PDIP https://t.co/Fb6M9J4Vug",2023-04-28 07:26:11,Twitter,Positive,@DadangBudiman14 (Dadang Budiman),26,122,0
10003,mention,Aq pilih Ã¢ÂÂ¦@ganjarpranowoÃ¢ÂÂ© lah krn dialah yg terbaik dari ketiga capres itu  https://t.co/8DhJrUj9Kr,2023-04-28 07:26:08,Twitter,Positive,@ichwankalimasad (IchwanKalimasada),6556,0,0
10004,reply,"@Fahrihamzah Semoga Capres dan Cawapres kali ini betul"" punya integritas yg tinggi untuk kemajuan NKRI Ã°ÂŸÂ™ÂÃ°ÂŸÂ™ÂÃ°ÂŸÂ™Â",2023-04-28 07:26:07,Twitter,Positive,@Andi_futago (@lif),22,0,0
10005,reply,"@tempodotco Segeralah ambil keputusan. Enam bulan itu tidaklah lama lagi. Tetap nyalon Capres itu baik. Gabung ke salah satu koalisi yg ada itu realistis. Pilih perubahan itu cerdas. Karna Karya nyata itu harus terus dalam perubahan untu Karya, Karya untu",2023-04-28 07:26:03,Twitter,Positive,@SitorusWahyudin (Sidori),219,0,0
10006,reply,@puanmaharani_ri Hari gini baru bicara berjuang bersama rakyat ? Kmrn kemana aja. BBM naik ga mewek lagi ? Omnibus Law secepat kilat disahkan akhirnya MK membatalkannya. Matiiin mic. Nonsen semua saat mau pilpres bicara rakyat !!!,2023-04-28 07:26:02,Twitter,Positive,@fauzan1520 (fauzan),38,0,0
10007,mention,"Mencari Cawapres Prabowo Subianto di Pilpres 2024, Siapakah yang Cocok?. capres2024 dekade08 mendingprabowo terusmajubersamaprab owo",2023-04-28 07:26:01,Twitter,Positive,@shyllanzama (Shylla Hanzama),59,0,0
10008,mention,"""Siapa pun cawapres pilihan beliau (Prabowo), sebagai kader kami akan tetap berjuang tegak lurus satu komando,"" kata Rany. capres2024 dekade08 mendingprabowo terusmajubersamaprab owo",2023-04-28 07:26:01,Twitter,Positive,@shyllanzama (Shylla Hanzama),59,0,0
10009,rt,"RT @ekowboy2: Anies harapan perubahan Indonesia, capres idola 2024..",2023-04-28 07:25:13,Twitter,Positive,@MeongWahyu (Meong Wahyu),29,1819,0
10010,rt,RT @idtodayco: Polling Yuk! Biar tidak ada rekayasa di antara kita (Rakyat Indonesia).,2023-04-28 07:25:12,Twitter,Positive,@madinakopikoi (mikirin_rakyat),9,3939,0
10011,rt,"RT @alisyarief: Jokowi Minta Presiden Jangan Dilibatkan Dalam Pilpres, Karena Urusan Partai https://t.co/foeaLXxL1S",2023-04-28 07:25:10,Twitter,Positive,@kretekmantab (RA),103,24,0
10012,rt,RT @idtodayco: Polling Yuk! Biar tidak ada rekayasa di antara kita (Rakyat Indonesia).,2023-04-28 07:25:07,Twitter,Positive,@KangMasMalli (RadikaLemÃ°ÂŸÂ‡Â²Ã°ÂŸÂ‡Â¨Ã°ÂŸÂ‡ÂµÃ°ÂŸÂ‡Â¸),418,3938,0
10013,rt,RT @geloraco: Fadel Muhammad: Saya Mendengar Informasi Intelijen Ada yang Ingin Gagalkan Pemilu 2024,2023-04-28 07:25:02,Twitter,Positive,@martramb (Martramb),198,102,0
10014,rt,"RT @Bams27735590: *INI DATA KPU HASIL PEMILU 2024* *Luar biasa, negeri ini memang sakti, pemungutan suara belum dilakukan, hasilnya sudah dÃ¢Â€Â¦",2023-04-28 07:23:59,Twitter,Positive,@eddy_eedkit (eddy yusuf),2140,1160,0
10015,rt,"RT @ekowboy2: Anies harapan perubahan Indonesia, capres idola 2024..",2023-04-28 07:23:01,Twitter,Positive,@OktoMaryanto (Okto Maryanto),4,1815,0
10016,rt,RT @Subur0204: Percayakah anda bahwa KPU dan Bawaslu akan bekerja secara profesional dan berintegritas dlm penyelenggaraan pemilu 2024 danÃ¢Â€Â¦,2023-04-28 07:22:03,Twitter,Positive,@budiyuli2007 (#Perjuangan Dan Doa 2020),686,1339,0
10017,mention,Seluruh kader Gerindra dipastikan tegak lurus pada keputusan partai untuk tetap mendukung Prabowo sebagai capres 2024. capres2024 dekade08 mendingprabowo terusmajubersamaprab owo,2023-04-28 07:22:00,Twitter,Positive,@ratuslsbla (Ratu Salsabila),55,0,0
10018,rt,RT @Aryprasetyo85: Belum juga di tawarin...Ã°ÂŸÂ˜Â€,2023-04-28 07:22:00,Twitter,Positive,@Darasahmad1 (Darasahmad),230,38,0
10019,rt,RT @idtodayco: Polling Yuk! Biar tidak ada rekayasa di antara kita (Rakyat Indonesia).,2023-04-28 07:21:59,Twitter,Positive,@AriefLucky4 (Lucky RasyidÃ°ÂŸÂ‡Â´),190,3931,0
10020,rt,RT @hc_poirot: Ã¢Â€ÂœBapak sebaiknya mengundurkan diri dari Kabinet Presiden Jokowi sebelum pelaksanaan Pemilu 2024. Kami memandang sudah tidakÃ¢Â€Â¦,2023-04-28 07:21:25,Twitter,Positive,@deworaywhite (Dewo),611,14,0
10021,mention,"""Jadi, tidak ada alasan apapun yang dapat digunakan untuk menjustifikasi Prabowo menjadi cawapres,"" ujar Jamiluddin. capres2024 dekade08 mendingprabowo terusmajubersamaprab owo",2023-04-28 07:21:22,Twitter,Positive,@ratuslsbla (Ratu Salsabila),55,0,0
10022,mention,Figur Cawapres Idaman Masyarakat Indonesia. @erickthohir #indonesiamaju #Syariah #indonesiamerdeka #EKONOMÃ„Â° #bumnuntukindonesia #bumn #bumnuntuknegeri #bumnuntukindonesia #erthoforwapres #erickthohir #erickthohirwapres #erickthohirsolusirakyat https://,2023-04-28 07:21:19,Twitter,Positive,@mikhlas22juli (Muhammad Ikhlas),244,0,0
10023,mention,"""Prabowo bersama Ganjar dan Anies Baswedan sama-sama layak menjadi capres,"" ucap Jamiluddin. capres2024 dekade08 mendingprabowo terusmajubersamaprab owo",2023-04-28 07:21:19,Twitter,Positive,@ratuslsbla (Ratu Salsabila),55,0,0
10024,mention,Partai lain tidak serta-merta bisa mengatur Prabowo Subianto sebagai Cawapres pendamping. capres2024 dekade08 mendingprabowo terusmajubersamaprab owo,2023-04-28 07:21:16,Twitter,Positive,@ratuslsbla (Ratu Salsabila),55,0,0
10025,reply,@kadrundungu12 @NohCeukenohhh @ruhutsitompul @MuhiqR @DE_Sapta5 @Yurissa_Samosir @ArdhaniFariz yg dituduh chat mesum itu bukan capres.,2023-04-28 07:21:13,Twitter,Positive,@samurai_tenro (Harl L Pane),871,0,0
